,banks,discount_description,vendor_image,vendor_name
46,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]",Enjoy up to 15% off at Ink Factory with Faysal Bank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Ink Factory
47,"[{'bank_name': 'soneri-bank', 'uri': 'https://propakistani.pk/tools/bank/soneri-bank/'}]",Enjoy up to 15% off on Bodybrics at Jacked Nutrition with Soneri Bank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Jacked Nutrition
48,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]","Enjoy up to 15% off at Jason Steak House with Faysal Bank (avail discount on amount spend up to PKR 25,000/-)","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Jason Steak House
49,"[{'bank_name': 'bankislami', 'uri': 'https://propakistani.pk/tools/bank/bankislami/'}]",Enjoy up to 10% off at Junaid Jamshed with BankIslami,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Junaid Jamshed
50,"[{'bank_name': 'allied-bank', 'uri': 'https://propakistani.pk/tools/bank/allied-bank/'}]",Enjoy up to 25% off at Khaaki with Allied Bank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Khaaki
51,"[{'bank_name': 'js', 'uri': 'https://propakistani.pk/tools/bank/js/'}]",Enjoy up to 15% off at Khas Store with JS Bank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Khas Store
52,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]","Enjoy up to 15% off (avail discount on amount spend up to PKR 30,000/-) at Kim's with Faysal Bank","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Kim's
53,"[{'bank_name': 'mcb', 'uri': 'https://propakistani.pk/tools/bank/mcb/'}, {'bank_name': 'meezan-bank', 'uri': 'https://propakistani.pk/tools/bank/meezan-bank/'}]",Enjoy up to 25% off at Latte e te,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Latte e te
54,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]","Enjoy up to 15% off (avail discount on amount spend up to PKR 25,000/-) at Lobby Lounge with Faysal Bank","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Lobby Lounge
55,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]",Enjoy up to 10% off at Maisonette FirHill Villas with Faysal Bank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Maisonette FirHill Villas
