,banks,discount_description,vendor_image,vendor_name
30,"[{'bank_name': 'allied-bank', 'uri': 'https://propakistani.pk/tools/bank/allied-bank/'}, {'bank_name': 'bop', 'uri': 'https://propakistani.pk/tools/bank/bop/'}, {'bank_name': 'hbl', 'uri': 'https://propakistani.pk/tools/bank/hbl/'}, {'bank_name': 'soneri-bank', 'uri': 'https://propakistani.pk/tools/bank/soneri-bank/'}]","Enjoy up to 15% off on above purchases Rs.5,000 at Bed & Bath.","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Bed & Bath
31,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]",Enjoy up to 15% off at Big Thick Burgerz with Faysal Bank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Big Thick Burgerz
32,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]",Enjoy up to 20% off at Bistro 201 with Faysal Bank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Bistro 201
33,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]",Enjoy up to 25% off at Brand Merchant with Faysal Bank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Brand Merchant
34,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]","Enjoy up to 15% off (avail discount on amount spend up to PKR 25,000/-) at Bukhara with Faysal Bank","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Bukhara
35,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]",Enjoy up to 10% off (international & domestic tours) at Bukhari Travels with Faysal Bank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Bukhari Travels
36,"[{'bank_name': 'bop', 'uri': 'https://propakistani.pk/tools/bank/bop/'}, {'bank_name': 'soneri-bank', 'uri': 'https://propakistani.pk/tools/bank/soneri-bank/'}]",Enjoy up to 10% off at Burger Chalet.,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Burger Chalet
37,"[{'bank_name': 'bank-alfalah', 'uri': 'https://propakistani.pk/tools/bank/bank-alfalah/'}, {'bank_name': 'ubl-bank', 'uri': 'https://propakistani.pk/tools/bank/ubl-bank/'}]",Enjoy up to 20% off at Burger King.,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Burger King
38,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]",Enjoy up to 15% off at Burger Lab with Faysal Bank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Burger Lab
39,"[{'bank_name': 'hbl', 'uri': 'https://propakistani.pk/tools/bank/hbl/'}, {'bank_name': 'ubl-bank', 'uri': 'https://propakistani.pk/tools/bank/ubl-bank/'}]",Enjoy up to 20% off on Butlers Chocolate Cafe.,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Butlers Chocolate Cafe
40,"[{'bank_name': 'bank-alfalah', 'uri': 'https://propakistani.pk/tools/bank/bank-alfalah/'}]",Enjoy up to 40% off at Cafe Aylanto with Bank Alfalah,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Cafe Aylanto
