,card_detail,category,city,discount,max_discount_cap,title
233,Alfalah Mastercard Titanium Credit Card,Lifestyle,"Lahore, Karachi",Up to 10%,N/A,B&O Play
234,Alfalah Premier VISA Platinum Credit Card,Lifestyle,"Lahore, Karachi",Up to 10%,N/A,B&O Play
235,Alfalah Visa Gold Credit Card,Lifestyle,"Lahore, Karachi",Up to 10%,N/A,B&O Play
236,Alfalah Visa Platinum Credit Card,Lifestyle,"Lahore, Karachi",Up to 10%,N/A,B&O Play
237,Alfalah Premier VISA Signature Debit Card,Shopping,Gujranwala,5%,All Items,N/A
238,Alfalah Visa Signature Debit Card,Shopping,Gujranwala,5%,All Items,N/A
239,Bank Alfalah Debit Cards,Shopping,Gujranwala,5%,All Items,N/A
240,Bank Alfalah Mastercard Optimus Credit Card,Dining,Islamabad,Upto 20%,N/A,Back 2 Nature
241,Alfalah American Express Card,Dining,Islamabad,Upto 20%,N/A,Back 2 Nature
242,Alfalah Mastercard Titanium Credit Card,Dining,Islamabad,Upto 20%,N/A,Back 2 Nature
243,Alfalah Pehchaan Account for Women,Dining,Islamabad,Upto 20%,N/A,Back 2 Nature
244,Alfalah Premier VISA Platinum Credit Card,Dining,Islamabad,Upto 20%,N/A,Back 2 Nature
245,Alfalah Premier VISA Signature Debit Card,Dining,Islamabad,Upto 20%,N/A,Back 2 Nature
246,Alfalah Ultra Cashback Card,Dining,Islamabad,Upto 20%,N/A,Back 2 Nature
247,Alfalah Visa Classic Credit Card,Dining,Islamabad,Upto 20%,N/A,Back 2 Nature
248,Alfalah Visa Gold Credit Card,Dining,Islamabad,Upto 20%,N/A,Back 2 Nature
249,Alfalah Visa Platinum Credit Card,Dining,Islamabad,Upto 20%,N/A,Back 2 Nature
250,Alfalah Visa Signature Debit Card,Dining,Islamabad,Upto 20%,N/A,Back 2 Nature
251,Bank Alfalah Debit Cards,Dining,Islamabad,Upto 20%,N/A,Back 2 Nature
252,Alfalah Pehchaan Account for Women,Lifestyle,Lahore,10%,N/A,N/A
253,Alfalah Premier VISA Signature Debit Card,Lifestyle,Lahore,10%,N/A,N/A
254,Alfalah Visa Signature Debit Card,Lifestyle,Lahore,10%,N/A,N/A
255,Bank Alfalah Debit Cards,Lifestyle,Lahore,10%,N/A,N/A
256,Bank Alfalah Islamic Premier Signature Debit Card,Dining,Lahore,25%,Maximum Discount Cap: Rs 5000,N/A
257,Bank Alfalah Islamic Signature Debit,Dining,Lahore,25%,Maximum Discount Cap: Rs 5000,N/A
258,Bank Alfalah Mastercard Optimus Credit Card,Dining,Lahore,20%,Maximum Discount Cap: Rs 5000,N/A
259,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Lahore,25%,Maximum Discount Cap: Rs 5000,N/A
260,Bank Alfalah Premier VISA Signature Debit Card,Dining,Lahore,25%,Maximum Discount Cap: Rs 5000,N/A
261,Bank Alfalah Visa Platinum Credit Card,Dining,Lahore,25%,Maximum Discount Cap: Rs 5000,N/A
262,Bank Alfalah Visa Signature Debit Card,Dining,Lahore,25%,Maximum Discount Cap: Rs 5000,N/A
263,Bank Alfalah Mastercard Optimus Credit Card,Lifestyle,Lahore,10%,N/A,N/A
264,Bank Alfalah Debit Cards,Lifestyle,Lahore,20%,N/A,N/A
265,Bank Alfalah Premier VISA Platinum Credit Card,Dining,"Lahore, Karachi",40%,N/A,"40% Discount Cap: Rs.5,000,  15% discount Cap: Rs.2,500"
266,Bank Alfalah Premier VISA Signature Debit Card,Dining,"Lahore, Karachi",40%,N/A,"40% Discount Cap: Rs.5,000,  15% discount Cap: Rs.2,500"
267,Bank Alfalah Visa Signature Debit Card,Dining,"Lahore, Karachi",15%,N/A,"40% Discount Cap: Rs.5,000,  15% discount Cap: Rs.2,500"
268,Bank Alfalah Visa Platinum Credit Card,Dining,"Lahore, Karachi",15%,N/A,"40% Discount Cap: Rs.5,000,  15% discount Cap: Rs.2,500"
269,Bank Alfalah Mastercard Optimus Credit Card,Dining,"Lahore, Karachi",15%,N/A,"40% Discount Cap: Rs.5,000,  15% discount Cap: Rs.2,500"
270,Bank Alfalah Islamic Premier Signature Debit Card,Dining,"Lahore, Karachi",40%,N/A,"40% Discount Cap: Rs.5,000,  15% discount Cap: Rs.2,500"
271,Bank Alfalah Islamic Signature Debit Card,Dining,"Lahore, Karachi",15%,N/A,"40% Discount Cap: Rs.5,000,  15% discount Cap: Rs.2,500"
272,Bank Alfalah Mastercard Optimus Credit Card,Dining,Lahore,10%,N/A,N/A
273,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Rawalpindi,20%,N/A,Bean Machine Restaurant
274,Bank Alfalah Premier VISA Signature Debit Card,Dining,Rawalpindi,20%,N/A,Bean Machine Restaurant
275,Bank Alfalah Visa Platinum Credit Card,Dining,Rawalpindi,20%,N/A,Bean Machine Restaurant
276,Bank Alfalah American Express Card,Dining,Rawalpindi,20%,N/A,Bean Machine Restaurant
277,Bank Alfalah Mastercard Optimus Credit Card,Dining,Rawalpindi,15%,N/A,Bean Machine Restaurant
278,Bank Alfalah Visa Gold Credit Card,Dining,Rawalpindi,15%,N/A,Bean Machine Restaurant
279,Bank Alfalah Ultra Cashback Card,Dining,Rawalpindi,10%,N/A,Bean Machine Restaurant
280,Bank Alfalah Visa Classic Credit Card,Dining,Rawalpindi,10%,N/A,Bean Machine Restaurant
281,Bank Alfalah Islamic Premier Signature Debit Card,Dining,Rawalpindi,20%,N/A,Bean Machine Restaurant
282,Bank Alfalah Mastercard Optimus Credit Card,Dining,Islamabad,15%,N/A,Beans and Buns Café
283,Alfalah Mastercard Titanium Credit Card,Dining,Islamabad,15%,N/A,Beans and Buns Café
284,Alfalah Premier VISA Platinum Credit Card,Dining,Islamabad,15%,N/A,Beans and Buns Café
285,Alfalah Premier VISA Signature Debit Card,Dining,Islamabad,15%,N/A,Beans and Buns Café
286,Alfalah Ultra Cashback Card,Dining,Islamabad,15%,N/A,Beans and Buns Café
287,Alfalah Visa Classic Credit Card,Dining,Islamabad,15%,N/A,Beans and Buns Café
288,Alfalah Visa Gold Credit Card,Dining,Islamabad,15%,N/A,Beans and Buns Café
289,Alfalah Visa Platinum Credit Card,Dining,Islamabad,15%,N/A,Beans and Buns Café
290,Alfalah Visa Signature Debit Card,Dining,Islamabad,15%,N/A,Beans and Buns Café
291,Bank Alfalah Debit Cards,Dining,Islamabad,15%,N/A,Beans and Buns Café
292,Bank Alfalah Premier VISA Platinum Credit Card,Other,Abbottabad,20%,N/A,N/A
293,Bank Alfalah Premier VISA Signature Debit Card,Other,Abbottabad,20%,N/A,N/A
294,Bank Alfalah Visa Signature Debit Card,Other,Abbottabad,20%,N/A,N/A
295,Bank Alfalah Visa Platinum Credit Card,Other,Abbottabad,20%,N/A,N/A
296,Bank Alfalah American Express Card,Other,Abbottabad,20%,N/A,N/A
297,Bank Alfalah Mastercard Optimus Credit Card,Other,Abbottabad,20%,N/A,N/A
298,Bank Alfalah Visa Gold Credit Card,Other,Abbottabad,20%,N/A,N/A
299,Bank Alfalah Mastercard Titanium Credit Card,Other,Abbottabad,20%,N/A,N/A
300,Bank Alfalah Ultra Cashback Card,Other,Abbottabad,20%,N/A,N/A
301,Bank Alfalah Visa Classic Credit Card,Other,Abbottabad,20%,N/A,N/A
302,Bank Alfalah Debit Cards,Other,Abbottabad,20%,N/A,N/A
303,Bank Alfalah Pehchaan Account for Women,Other,Abbottabad,20%,N/A,N/A
304,Bank Alfalah Islamic Gold and Classic Debit Card,Other,Abbottabad,20%,N/A,N/A
305,Bank Alfalah Islamic Premier Signature Debit Card,Other,Abbottabad,20%,N/A,N/A
306,Bank Alfalah Islamic Signature Debit Card,Other,Abbottabad,20%,N/A,N/A
307,Bank Alfalah Islamic Powerpack Debit Card,Other,Abbottabad,20%,N/A,N/A
308,Bank Alfalah Premier VISA Platinum Credit Card,Health,Islamabad,15%,N/A,N/A
309,Bank Alfalah Premier VISA Signature Debit Card,Health,Islamabad,15%,N/A,N/A
310,Bank Alfalah Visa Signature Debit Card,Health,Islamabad,15%,N/A,N/A
311,Bank Alfalah Visa Platinum Credit Card,Health,Islamabad,15%,N/A,N/A
312,Bank Alfalah American Express Card,Health,Islamabad,15%,N/A,N/A
313,Bank Alfalah Mastercard Optimus Credit Card,Health,Islamabad,15%,N/A,N/A
314,Bank Alfalah Visa Gold Credit Card,Health,Islamabad,15%,N/A,N/A
315,Bank Alfalah Mastercard Titanium Credit Card,Health,Islamabad,15%,N/A,N/A
316,Bank Alfalah Ultra Cashback Card,Health,Islamabad,15%,N/A,N/A
317,Bank Alfalah Visa Classic Credit Card,Health,Islamabad,15%,N/A,N/A
318,Bank Alfalah Debit Cards,Health,Islamabad,15%,N/A,N/A
319,Bank Alfalah Pehchaan Account for Women,Health,Islamabad,15%,N/A,N/A
320,Bank Alfalah Islamic Gold and Classic Debit Card,Health,Islamabad,15%,N/A,N/A
321,Bank Alfalah Islamic Premier Signature Debit Card,Health,Islamabad,15%,N/A,N/A
322,Bank Alfalah Islamic Signature Debit Card,Health,Islamabad,15%,N/A,N/A
323,Bank Alfalah Islamic Powerpack Debit Card,Health,Islamabad,15%,N/A,N/A
324,Bank Alfalah Mastercard Optimus Credit Card,Dining,Karachi,15%,Maximum Discount Cap Rs.5000/-,Bella Vita
325,Alfalah Premier VISA Platinum Credit Card,Dining,Karachi,20%,Maximum Discount Cap Rs.5000/-,Bella Vita
326,Alfalah Visa Platinum Credit Card,Dining,Karachi,20%,Maximum Discount Cap Rs.5000/-,Bella Vita
327,Alfalah Visa Gold Debit Card,Dining,Karachi,15%,Maximum Discount Cap Rs.5000/-,Bella Vita
328,Alfalah Mastercard Titanium Credit Card,Dining,Karachi,15%,Maximum Discount Cap Rs.5000/-,Bella Vita
329,Alfalah Visa Classic Credit Card,Dining,Karachi,15%,Maximum Discount Cap Rs.5000/-,Bella Vita
330,Alfalah Ultra Cashback Card,Dining,Karachi,15%,Maximum Discount Cap Rs.5000/-,Bella Vita
331,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Multan,25%,N/A,"Upto 25% off

01-06-2022 to 31-12-2023"
332,Bank Alfalah Premier VISA Signature Debit Card,Dining,Multan,25%,N/A,"Upto 25% off

01-06-2022 to 31-12-2023"
333,Bank Alfalah Visa Platinum Credit Card,Dining,Multan,25%,N/A,"Upto 25% off

01-06-2022 to 31-12-2023"
334,Bank Alfalah American Express Card,Dining,Multan,25%,N/A,"Upto 25% off

01-06-2022 to 31-12-2023"
335,Bank Alfalah Mastercard Optimus Credit Card,Dining,Multan,20%,N/A,"Upto 25% off

01-06-2022 to 31-12-2023"
336,Bank Alfalah Visa Gold Credit Card,Dining,Multan,20%,N/A,"Upto 25% off

01-06-2022 to 31-12-2023"
337,Bank Alfalah Mastercard Titanium Credit Card,Dining,Multan,20%,N/A,"Upto 25% off

01-06-2022 to 31-12-2023"
338,Bank Alfalah Ultra Cashback Card,Dining,Multan,15%,N/A,"Upto 25% off

01-06-2022 to 31-12-2023"
339,Bank Alfalah Islamic Gold and Classic Debit Card,Dining,Multan,20%,N/A,"Upto 25% off

01-06-2022 to 31-12-2023"
