,card_detail,category,city,discount,max_discount_cap,title
1597,Alfalah Visa Platinum Credit Card,Lifestyle,"Lahore, Karachi, Islamabad",20%,N/A,Maximum discount is Rs 2000 per transaction
1598,Alfalah Visa Signature Debit Card,Lifestyle,"Lahore, Karachi, Islamabad",20%,N/A,Maximum discount is Rs 2000 per transaction
1599,Bank Alfalah Mastercard Optimus Credit Card,Lifestyle,Lahore,10%,N/A,N/A
1600,Alfalah American Express Card,Lifestyle,Lahore,10%,N/A,N/A
1601,Alfalah Mastercard Titanium Credit Card,Lifestyle,Lahore,10%,N/A,N/A
1602,Alfalah Premier VISA Platinum Credit Card,Lifestyle,Lahore,10%,N/A,N/A
1603,Alfalah Premier VISA Signature Debit Card,Lifestyle,Lahore,10%,N/A,N/A
1604,Alfalah Ultra Cashback Card,Lifestyle,Lahore,10%,N/A,N/A
1605,Alfalah Visa Classic Credit Card,Lifestyle,Lahore,10%,N/A,N/A
1606,Alfalah Visa Gold Credit Card,Lifestyle,Lahore,10%,N/A,N/A
1607,Alfalah Visa Platinum Credit Card,Lifestyle,Lahore,10%,N/A,N/A
1608,Alfalah Visa Signature Debit Card,Lifestyle,Lahore,10%,N/A,N/A
1609,Bank Alfalah Debit Cards,Lifestyle,Lahore,10%,N/A,N/A
1610,Bank Alfalah Mastercard Optimus Credit Card,Other,Islamabad,20%,N/A,Impladent Dental & Laser Centre
1611,Alfalah American Express Card,Other,Islamabad,20%,N/A,Impladent Dental & Laser Centre
1612,Alfalah Mastercard Titanium Credit Card,Other,Islamabad,20%,N/A,Impladent Dental & Laser Centre
1613,Alfalah Premier VISA Platinum Credit Card,Other,Islamabad,20%,N/A,Impladent Dental & Laser Centre
1614,Alfalah Premier VISA Signature Debit Card,Other,Islamabad,20%,N/A,Impladent Dental & Laser Centre
1615,Alfalah Ultra Cashback Card,Other,Islamabad,20%,N/A,Impladent Dental & Laser Centre
1616,Alfalah Visa Classic Credit Card,Other,Islamabad,20%,N/A,Impladent Dental & Laser Centre
1617,Alfalah Visa Gold Credit Card,Other,Islamabad,20%,N/A,Impladent Dental & Laser Centre
1618,Alfalah Visa Platinum Credit Card,Other,Islamabad,20%,N/A,Impladent Dental & Laser Centre
1619,Alfalah Visa Signature Debit Card,Other,Islamabad,20%,N/A,Impladent Dental & Laser Centre
1620,Bank Alfalah Debit Cards,Other,Islamabad,20%,N/A,Impladent Dental & Laser Centre
1621,Alfalah Pehchaan Account for Women,Lifestyle,Multan,10%,N/A,N/A
1622,Alfalah Premier VISA Signature Debit Card,Lifestyle,Multan,10%,N/A,N/A
1623,Alfalah Visa Signature Debit Card,Lifestyle,Multan,10%,N/A,N/A
1624,Bank Alfalah Debit Cards,Lifestyle,Multan,10%,N/A,N/A
1625,Bank Alfalah Mastercard Optimus Credit Card,Dining,Lahore,15%,N/A,N/A
1626,Bank Alfalah Mastercard Optimus Credit Card,Other,Islamabad,15%,N/A,Islamabad Diagnostic Centre
1627,Alfalah American Express Card,Other,Islamabad,15%,N/A,Islamabad Diagnostic Centre
1628,Alfalah Mastercard Titanium Credit Card,Other,Islamabad,15%,N/A,Islamabad Diagnostic Centre
1629,Alfalah Pehchaan Account for Women,Other,Islamabad,15%,N/A,Islamabad Diagnostic Centre
1630,Alfalah Premier VISA Platinum Credit Card,Other,Islamabad,15%,N/A,Islamabad Diagnostic Centre
1631,Alfalah Premier VISA Signature Debit Card,Other,Islamabad,15%,N/A,Islamabad Diagnostic Centre
1632,Alfalah Ultra Cashback Card,Other,Islamabad,15%,N/A,Islamabad Diagnostic Centre
1633,Alfalah Visa Classic Credit Card,Other,Islamabad,15%,N/A,Islamabad Diagnostic Centre
1634,Alfalah Visa Gold Credit Card,Other,Islamabad,15%,N/A,Islamabad Diagnostic Centre
1635,Alfalah Visa Platinum Credit Card,Other,Islamabad,15%,N/A,Islamabad Diagnostic Centre
1636,Alfalah Visa Signature Debit Card,Other,Islamabad,15%,N/A,Islamabad Diagnostic Centre
1637,Bank Alfalah Debit Cards,Other,Islamabad,15%,N/A,Islamabad Diagnostic Centre
1638,Bank Alfalah Mastercard Optimus Credit Card,Dining,Islamabad,upto 40%,N/A,N/A
1639,Alfalah American Express Card,Dining,Islamabad,upto 40%,N/A,N/A
1640,Alfalah Mastercard Titanium Credit Card,Dining,Islamabad,upto 40%,N/A,N/A
1641,Alfalah Premier VISA Platinum Credit Card,Dining,Islamabad,upto 40%,N/A,N/A
1642,Alfalah Premier VISA Signature Debit Card,Dining,Islamabad,upto 40%,N/A,N/A
1643,Alfalah Ultra Cashback Card,Dining,Islamabad,upto 40%,N/A,N/A
1644,Alfalah Visa Classic Credit Card,Dining,Islamabad,upto 40%,N/A,N/A
1645,Alfalah Visa Gold Credit Card,Dining,Islamabad,upto 40%,N/A,N/A
1646,Alfalah Visa Platinum Credit Card,Dining,Islamabad,upto 40%,N/A,N/A
1647,Alfalah Visa Signature Debit Card,Dining,Islamabad,upto 40%,N/A,N/A
1648,Bank Alfalah Debit Cards,Dining,Islamabad,upto 40%,N/A,N/A
1649,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Islamabad,20%,N/A,Ivy Courtyard Cafe
1650,Bank Alfalah Premier VISA Signature Debit Card,Dining,Islamabad,20%,N/A,Ivy Courtyard Cafe
1651,Bank Alfalah Visa Signature Debit Card,Dining,Islamabad,20%,N/A,Ivy Courtyard Cafe
1652,Bank Alfalah Visa Platinum Credit Card,Dining,Islamabad,20%,N/A,Ivy Courtyard Cafe
1653,Bank Alfalah American Express Card,Dining,Islamabad,20%,N/A,Ivy Courtyard Cafe
1654,Bank Alfalah Mastercard Optimus Credit Card,Dining,Islamabad,15%,N/A,Ivy Courtyard Cafe
1655,Bank Alfalah Visa Gold Credit Card,Dining,Islamabad,15%,N/A,Ivy Courtyard Cafe
1656,Bank Alfalah Mastercard Titanium Credit Card,Dining,Islamabad,15%,N/A,Ivy Courtyard Cafe
1657,Bank Alfalah Ultra Cashback Card,Dining,Islamabad,15%,N/A,Ivy Courtyard Cafe
1658,Bank Alfalah Visa Classic Credit Card,Dining,Islamabad,15%,N/A,Ivy Courtyard Cafe
1659,Bank Alfalah Debit Cards,Dining,Islamabad,20%,N/A,Ivy Courtyard Cafe
1660,Bank Alfalah Pehchaan Account for Women,Dining,Islamabad,20%,N/A,Ivy Courtyard Cafe
1661,Bank Alfalah Islamic Gold and Classic Debit Card,Dining,Islamabad,15%,N/A,Ivy Courtyard Cafe
1662,Bank Alfalah Islamic Premier Signature Debit Card,Dining,Islamabad,20%,N/A,Ivy Courtyard Cafe
1663,Bank Alfalah Islamic Signature Debit Card,Dining,Islamabad,20%,N/A,Ivy Courtyard Cafe
1664,Bank Alfalah Islamic Powerpack Debit Card,Dining,Islamabad,15%,N/A,Ivy Courtyard Cafe
1665,Bank Alfalah Premier VISA Platinum Credit Card,Dining,"Multan, Gujranwala",15%,N/A,N/A
1666,Bank Alfalah Premier VISA Signature Debit Card,Dining,"Multan, Gujranwala",15%,N/A,N/A
1667,Bank Alfalah Visa Signature Debit Card,Dining,"Multan, Gujranwala",15%,N/A,N/A
1668,Bank Alfalah Visa Platinum Credit Card,Dining,"Multan, Gujranwala",15%,N/A,N/A
1669,Bank Alfalah American Express Card,Dining,"Multan, Gujranwala",15%,N/A,N/A
1670,Bank Alfalah Mastercard Optimus Credit Card,Dining,"Multan, Gujranwala",10%,N/A,N/A
1671,Bank Alfalah Visa Gold Credit Card,Dining,"Multan, Gujranwala",10%,N/A,N/A
1672,Bank Alfalah Visa Classic Credit Card,Dining,"Multan, Gujranwala",10%,N/A,N/A
1673,Bank Alfalah Debit Cards,Dining,"Multan, Gujranwala",10%,N/A,N/A
1674,Alfalah American Express Card,Other,Lahore,25%,N/A,N/A
1675,Alfalah Mastercard Titanium Credit Card,Other,Lahore,25%,N/A,N/A
1676,Alfalah Pehchaan Account for Women,Other,Lahore,25%,N/A,N/A
1677,Alfalah Premier VISA Platinum Credit Card,Other,Lahore,25%,N/A,N/A
1678,Alfalah Premier VISA Signature Debit Card,Other,Lahore,25%,N/A,N/A
1679,Alfalah Ultra Cashback Card,Other,Lahore,25%,N/A,N/A
1680,Alfalah Visa Classic Credit Card,Other,Lahore,25%,N/A,N/A
1681,Alfalah Visa Gold Credit Card,Other,Lahore,25%,N/A,N/A
1682,Alfalah Visa Platinum Credit Card,Other,Lahore,25%,N/A,N/A
1683,Alfalah Visa Signature Debit Card,Other,Lahore,25%,N/A,N/A
1684,Bank Alfalah Debit Cards,Other,Lahore,25%,N/A,N/A
1685,Bank Alfalah Mastercard Optimus Credit Card,Health,Lahore,30%,N/A,N/A
1686,Bank Alfalah Debit Cards,Shopping,Lahore,10%,N/A,N/A
1687,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Sialkot,15%,N/A,"15% off

01-11-2022 to 31-12-2023"
1688,Bank Alfalah Premier VISA Signature Debit Card,Dining,Sialkot,15%,N/A,"15% off

01-11-2022 to 31-12-2023"
1689,Bank Alfalah Visa Signature Debit Card,Dining,Sialkot,15%,N/A,"15% off

01-11-2022 to 31-12-2023"
1690,Bank Alfalah Visa Platinum Credit Card,Dining,Sialkot,15%,N/A,"15% off

01-11-2022 to 31-12-2023"
1691,Bank Alfalah American Express Card,Dining,Sialkot,15%,N/A,"15% off

01-11-2022 to 31-12-2023"
1692,Bank Alfalah Mastercard Optimus Credit Card,Dining,Sialkot,15%,N/A,"15% off

01-11-2022 to 31-12-2023"
1693,Bank Alfalah Visa Gold Credit Card,Dining,Sialkot,15%,N/A,"15% off

01-11-2022 to 31-12-2023"
1694,Bank Alfalah Mastercard Titanium Credit Card,Dining,Sialkot,15%,N/A,"15% off

01-11-2022 to 31-12-2023"
1695,Bank Alfalah Ultra Cashback Card,Dining,Sialkot,15%,N/A,"15% off

01-11-2022 to 31-12-2023"
1696,Bank Alfalah Visa Classic Credit Card,Dining,Sialkot,15%,N/A,"15% off

01-11-2022 to 31-12-2023"
1697,Bank Alfalah Debit Cards,Dining,Sialkot,15%,N/A,"15% off

01-11-2022 to 31-12-2023"
1698,Bank Alfalah Pehchaan Account for Women,Dining,Sialkot,15%,N/A,"15% off

01-11-2022 to 31-12-2023"
1699,Bank Alfalah Islamic Gold and Classic Debit Card,Dining,Sialkot,15%,N/A,"15% off

01-11-2022 to 31-12-2023"
1700,Bank Alfalah Islamic Premier Signature Debit Card,Dining,Sialkot,15%,N/A,"15% off

01-11-2022 to 31-12-2023"
1701,Bank Alfalah Islamic Signature Debit Card,Dining,Sialkot,15%,N/A,"15% off

01-11-2022 to 31-12-2023"
1702,Bank Alfalah Islamic Powerpack Debit Card,Dining,Sialkot,15%,N/A,"15% off

01-11-2022 to 31-12-2023"
1703,Bank Alfalah American Express Card,Lifestyle,Karachi,Upto 20% off,N/A,N/A
1704,Bank Alfalah Debit Cards,Lifestyle,Karachi,Upto 20% off,N/A,N/A
1705,Bank Alfalah Islamic Gold and Classic Debit Card,Lifestyle,Karachi,Upto 20% off,N/A,N/A
1706,Bank Alfalah Islamic Powerpack Debit Card,Lifestyle,Karachi,Upto 20% off,N/A,N/A
1707,Bank Alfalah Islamic Premier Signature Debit Card,Lifestyle,Karachi,Upto 20% off,N/A,N/A
1708,Bank Alfalah Islamic Signature Debit Card,Lifestyle,Karachi,Upto 20% off,N/A,N/A
1709,Bank Alfalah Mastercard Optimus Credit Card,Lifestyle,Karachi,Upto 20% off,N/A,N/A
1710,Bank Alfalah Mastercard Titanium Credit Card,Lifestyle,Karachi,Upto 20% off,N/A,N/A
1711,Bank Alfalah Pehchaan Account for Women,Lifestyle,Karachi,Upto 20% off,N/A,N/A
1712,Bank Alfalah Premier VISA Platinum Credit Card,Lifestyle,Karachi,Upto 20% off,N/A,N/A
1713,Bank Alfalah Premier VISA Signature Debit Card,Lifestyle,Karachi,Upto 20% off,N/A,N/A
1714,Bank Alfalah Ultra Cashback Card,Lifestyle,Karachi,Upto 20% off,N/A,N/A
1715,Bank Alfalah Visa Classic Credit Card,Lifestyle,Karachi,Upto 20% off,N/A,N/A
1716,Bank Alfalah Visa Gold Credit Card,Lifestyle,Karachi,Upto 20% off,N/A,N/A
1717,Bank Alfalah Visa Platinum Credit Card,Lifestyle,Karachi,Upto 20% off,N/A,N/A
1718,Bank Alfalah Visa Signature Debit Card,Lifestyle,Karachi,Upto 20% off,N/A,N/A
1719,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Peshawar,15%,N/A,N/A
1720,Bank Alfalah Premier VISA Signature Debit Card,Dining,Peshawar,15%,N/A,N/A
1721,Bank Alfalah Visa Signature Debit Card,Dining,Peshawar,15%,N/A,N/A
1722,Bank Alfalah Visa Platinum Credit Card,Dining,Peshawar,15%,N/A,N/A
1723,Bank Alfalah American Express Card,Dining,Peshawar,15%,N/A,N/A
1724,Bank Alfalah Mastercard Optimus Credit Card,Dining,Peshawar,10%,N/A,N/A
1725,Bank Alfalah Visa Gold Credit Card,Dining,Peshawar,10%,N/A,N/A
1726,Bank Alfalah Visa Classic Credit Card,Dining,Peshawar,10%,N/A,N/A
1727,Bank Alfalah Debit Cards,Dining,Peshawar,10%,N/A,N/A
1728,Bank Alfalah Premier VISA Platinum Credit Card,Other,Islamabad,15%,N/A,N/A
1729,Bank Alfalah Premier VISA Signature Debit Card,Other,Islamabad,15%,N/A,N/A
1730,Bank Alfalah Visa Signature Debit Card,Other,Islamabad,15%,N/A,N/A
1731,Bank Alfalah Visa Platinum Credit Card,Other,Islamabad,15%,N/A,N/A
1732,Bank Alfalah American Express Card,Other,Islamabad,15%,N/A,N/A
1733,Bank Alfalah Mastercard Optimus Credit Card,Other,Islamabad,15%,N/A,N/A
1734,Bank Alfalah Visa Gold Credit Card,Other,Islamabad,15%,N/A,N/A
1735,Bank Alfalah Mastercard Titanium Credit Card,Other,Islamabad,15%,N/A,N/A
1736,Bank Alfalah Ultra Cashback Card,Other,Islamabad,15%,N/A,N/A
1737,Bank Alfalah Visa Classic Credit Card,Other,Islamabad,15%,N/A,N/A
1738,Bank Alfalah Debit Cards,Other,Islamabad,15%,N/A,N/A
1739,Bank Alfalah Pehchaan Account for Women,Other,Islamabad,15%,N/A,N/A
1740,Bank Alfalah Islamic Gold and Classic Debit Card,Other,Islamabad,15%,N/A,N/A
1741,Bank Alfalah Islamic Premier Signature Debit Card,Other,Islamabad,15%,N/A,N/A
1742,Bank Alfalah Islamic Signature Debit Card,Other,Islamabad,15%,N/A,N/A
1743,Bank Alfalah Islamic Powerpack Debit Card,Other,Islamabad,15%,N/A,N/A
1744,Bank Alfalah Mastercard Optimus Credit Card,Dining,Karachi,20%,N/A,Kabab Ji – Movenpick
1745,Alfalah Premier VISA Platinum Credit Card,Dining,Karachi,20%,N/A,Kabab Ji – Movenpick
1746,Alfalah Visa Platinum Credit Card,Dining,Karachi,20%,N/A,Kabab Ji – Movenpick
1747,Alfalah Visa Gold Debit Card,Dining,Karachi,20%,N/A,Kabab Ji – Movenpick
1748,Alfalah Mastercard Titanium Credit Card,Dining,Karachi,20%,N/A,Kabab Ji – Movenpick
1749,Alfalah Premier VISA Signature Debit Card,Dining,Karachi,20%,N/A,Kabab Ji – Movenpick
1750,Bank Alfalah Mastercard Optimus Credit Card,Dining,Karachi,30%,N/A,Kababjees
1751,Alfalah Premier VISA Platinum Credit Card,Dining,Karachi,30%,N/A,Kababjees
1752,Alfalah Visa Platinum Credit Card,Dining,Karachi,30%,N/A,Kababjees
1753,Alfalah Premier VISA Signature Debit Card,Dining,Karachi,30%,N/A,Kababjees
1754,Alfalah Visa Signature Debit Card,Dining,Karachi,30%,N/A,Kababjees
1755,Bank Alfalah Mastercard Optimus Credit Card,N/A,Lahore,15%,N/A,N/A
1756,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Bahawalpur,15% ,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1757,Bank Alfalah Premier VISA Signature Debit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1758,Bank Alfalah Visa Signature Debit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1759,Bank Alfalah Visa Platinum Credit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1760,Bank Alfalah American Express Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1761,Bank Alfalah Mastercard Optimus Credit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1762,Bank Alfalah Visa Gold Credit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1763,Bank Alfalah Mastercard Titanium Credit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1764,Bank Alfalah Ultra Cashback Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1765,Bank Alfalah Visa Classic Credit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1766,Bank Alfalah Debit Cards,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1767,Bank Alfalah Pehchaan Account for Women,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1768,Bank Alfalah Islamic Gold and Classic Debit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1769,Bank Alfalah Islamic Premier Signature Debit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1770,Bank Alfalah Islamic Signature Debit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1771,Bank Alfalah Islamic Powerpack Debit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1772,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Bahawalpur,15% ,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1773,Bank Alfalah Premier VISA Signature Debit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1774,Bank Alfalah Visa Signature Debit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1775,Bank Alfalah Visa Platinum Credit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1776,Bank Alfalah American Express Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1777,Bank Alfalah Mastercard Optimus Credit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1778,Bank Alfalah Visa Gold Credit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1779,Bank Alfalah Mastercard Titanium Credit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1780,Bank Alfalah Ultra Cashback Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1781,Bank Alfalah Visa Classic Credit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1782,Bank Alfalah Debit Cards,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1783,Bank Alfalah Pehchaan Account for Women,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1784,Bank Alfalah Islamic Gold and Classic Debit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1785,Bank Alfalah Islamic Premier Signature Debit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1786,Bank Alfalah Islamic Signature Debit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1787,Bank Alfalah Islamic Powerpack Debit Card,Dining,Bahawalpur,15%,N/A,"Flat 15%

01-10-2022 to 31-12-2023"
1788,Alfalah American Express Card,Dining,Islamabad,15%,N/A,Khiva Event Lawns
1789,Alfalah Mastercard Titanium Credit Card,Dining,Islamabad,15%,N/A,Khiva Event Lawns
1790,Alfalah Premier VISA Platinum Credit Card,Dining,Islamabad,15%,N/A,Khiva Event Lawns
1791,Alfalah Premier VISA Signature Debit Card,Dining,Islamabad,15%,N/A,Khiva Event Lawns
1792,Alfalah Ultra Cashback Card,Dining,Islamabad,15%,N/A,Khiva Event Lawns
1793,Alfalah Visa Classic Credit Card,Dining,Islamabad,15%,N/A,Khiva Event Lawns
1794,Alfalah Visa Gold Credit Card,Dining,Islamabad,15%,N/A,Khiva Event Lawns
1795,Alfalah Visa Platinum Credit Card,Dining,Islamabad,15%,N/A,Khiva Event Lawns
1796,Alfalah Visa Signature Debit Card,Dining,Islamabad,15%,N/A,Khiva Event Lawns
1797,Bank Alfalah Debit Cards,Dining,Islamabad,15%,N/A,Khiva Event Lawns
1798,Bank Alfalah Mastercard Optimus Credit Card,Dining,Islamabad,15%,N/A,Khiva Restaurant
1799,Alfalah American Express Card,Dining,Islamabad,20%,N/A,Khiva Restaurant
1800,Alfalah Mastercard Titanium Credit Card,Dining,Islamabad,15%,N/A,Khiva Restaurant
1801,Alfalah Premier VISA Platinum Credit Card,Dining,Islamabad,20%,N/A,Khiva Restaurant
1802,Alfalah Premier VISA Signature Debit Card,Dining,Islamabad,10%,N/A,Khiva Restaurant
1803,Alfalah Ultra Cashback Card,Dining,Islamabad,10%,N/A,Khiva Restaurant
1804,Alfalah Visa Classic Credit Card,Dining,Islamabad,10%,N/A,Khiva Restaurant
1805,Alfalah Visa Gold Credit Card,Dining,Islamabad,15%,N/A,Khiva Restaurant
1806,Alfalah Visa Platinum Credit Card,Dining,Islamabad,20%,N/A,Khiva Restaurant
1807,Alfalah Visa Signature Debit Card,Dining,Islamabad,10%,N/A,Khiva Restaurant
1808,Bank Alfalah Debit Cards,Dining,Islamabad,10%,N/A,Khiva Restaurant
1809,Bank Alfalah Premier VISA Platinum Credit Card,Lifestyle,Gujranwala,Upto 20% off,N/A,Upto 20% off on all bank alfalah cards T&C Apply.
1810,Bank Alfalah Premier VISA Signature Debit Card,Lifestyle,Gujranwala,Upto 20% off,N/A,Upto 20% off on all bank alfalah cards T&C Apply.
1811,Bank Alfalah Visa Signature Debit Card,Lifestyle,Gujranwala,Upto 20% off,N/A,Upto 20% off on all bank alfalah cards T&C Apply.
1812,Bank Alfalah Visa Platinum Credit Card,Lifestyle,Gujranwala,Upto 20% off,N/A,Upto 20% off on all bank alfalah cards T&C Apply.
1813,Bank Alfalah American Express Card,Lifestyle,Gujranwala,Upto 20% off,N/A,Upto 20% off on all bank alfalah cards T&C Apply.
1814,Bank Alfalah Mastercard Optimus Credit Card,Lifestyle,Gujranwala,Upto 20% off,N/A,Upto 20% off on all bank alfalah cards T&C Apply.
1815,Bank Alfalah Visa Gold Credit Card,Lifestyle,Gujranwala,Upto 20% off,N/A,Upto 20% off on all bank alfalah cards T&C Apply.
1816,Bank Alfalah Mastercard Titanium Credit Card,Lifestyle,Gujranwala,Upto 20% off,N/A,Upto 20% off on all bank alfalah cards T&C Apply.
1817,Bank Alfalah Ultra Cashback Card,Lifestyle,Gujranwala,Upto 20% off,N/A,Upto 20% off on all bank alfalah cards T&C Apply.
1818,Bank Alfalah Visa Classic Credit Card,Lifestyle,Gujranwala,Upto 20% off,N/A,Upto 20% off on all bank alfalah cards T&C Apply.
1819,Bank Alfalah Debit Cards,Lifestyle,Gujranwala,Upto 20% off,N/A,Upto 20% off on all bank alfalah cards T&C Apply.
1820,Bank Alfalah Pehchaan Account for Women,Lifestyle,Gujranwala,Upto 20% off,N/A,Upto 20% off on all bank alfalah cards T&C Apply.
1821,Bank Alfalah Islamic Gold and Classic Debit Card,Lifestyle,Gujranwala,Upto 20% off,N/A,Upto 20% off on all bank alfalah cards T&C Apply.
1822,Bank Alfalah Islamic Premier Signature Debit Card,Lifestyle,Gujranwala,Upto 20% off,N/A,Upto 20% off on all bank alfalah cards T&C Apply.
1823,Bank Alfalah Islamic Signature Debit Card,Lifestyle,Gujranwala,Upto 20% off,N/A,Upto 20% off on all bank alfalah cards T&C Apply.
1824,Bank Alfalah Islamic Powerpack Debit Card,Lifestyle,Gujranwala,Upto 20% off,N/A,Upto 20% off on all bank alfalah cards T&C Apply.
1825,Bank Alfalah Mastercard Optimus Credit Card,Lifestyle,Islamabad,50%,N/A,All Items
1826,Alfalah Mastercard Titanium Credit Card,Lifestyle,Islamabad,50%,N/A,All Items
1827,Alfalah Premier VISA Platinum Credit Card,Lifestyle,Islamabad,50%,N/A,All Items
1828,Alfalah Premier VISA Signature Debit Card,Lifestyle,Islamabad,50%,N/A,All Items
1829,Alfalah Ultra Cashback Card,Lifestyle,Islamabad,50%,N/A,All Items
1830,Alfalah Visa Classic Credit Card,Lifestyle,Islamabad,50%,N/A,All Items
1831,Alfalah Visa Gold Credit Card,Lifestyle,Islamabad,50%,N/A,All Items
1832,Alfalah Visa Platinum Credit Card,Lifestyle,Islamabad,50%,N/A,All Items
1833,Alfalah Visa Signature Debit Card,Lifestyle,Islamabad,50%,N/A,All Items
1834,Bank Alfalah Mastercard Optimus Credit Card,Dining,Lahore,15%,N/A,KIMS – Avari Tower
1835,Alfalah Premier VISA Platinum Credit Card,Dining,Lahore,15%,N/A,KIMS – Avari Tower
1836,Alfalah Visa Platinum Credit Card,Dining,Lahore,15%,N/A,KIMS – Avari Tower
1837,Alfalah Premier VISA Signature Debit Card,Dining,Lahore,15%,N/A,KIMS – Avari Tower
1838,Alfalah Visa Signature Debit Card,Dining,Lahore,15%,N/A,KIMS – Avari Tower
1839,Bank Alfalah Islamic Gold and Classic Debit Card,Lifestyle,Karachi,15%,N/A,Discount Cap: PKR 500
1840,Bank Alfalah American Express Card,Lifestyle,Karachi,15%,N/A,Discount Cap: PKR 500
1841,Bank Alfalah Debit Cards,Lifestyle,Karachi,15%,N/A,Discount Cap: PKR 500
1842,Bank Alfalah Islamic Premier Signature Debit Card,Lifestyle,Karachi,15%,N/A,Discount Cap: PKR 500
1843,Bank Alfalah Islamic Signature Debit,Lifestyle,Karachi,15%,N/A,Discount Cap: PKR 500
1844,Bank Alfalah Mastercard Optimus Credit Card,Lifestyle,Karachi,15%,N/A,Discount Cap: PKR 500
1845,Bank Alfalah Premier VISA Platinum Credit Card,Lifestyle,Karachi,15%,N/A,Discount Cap: PKR 500
1846,Bank Alfalah Premier VISA Signature Debit Card,Lifestyle,Karachi,15%,N/A,Discount Cap: PKR 500
1847,Bank Alfalah Ultra Cashback Card,Lifestyle,Karachi,15%,N/A,Discount Cap: PKR 500
1848,Bank Alfalah Visa Classic Credit Card,Lifestyle,Karachi,15%,N/A,Discount Cap: PKR 500
1849,Bank Alfalah Visa Gold Credit Card,Lifestyle,Karachi,15%,N/A,Discount Cap: PKR 500
1850,Bank Alfalah Visa Platinum Credit Card,Lifestyle,Karachi,15%,N/A,Discount Cap: PKR 500
1851,Bank Alfalah Visa Signature Debit Card,Lifestyle,Karachi,15%,N/A,Discount Cap: PKR 500
1852,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Lahore,25%,N/A,Koya
1853,Bank Alfalah Premier VISA Signature Debit Card,Dining,Lahore,25%,N/A,Koya
1854,Bank Alfalah Visa Signature Debit Card,Dining,Lahore,20%,N/A,Koya
1855,Bank Alfalah Visa Platinum Credit Card,Dining,Lahore,20%,N/A,Koya
1856,Bank Alfalah Islamic Premier Signature Debit Card,Dining,Lahore,25%,N/A,Koya
1857,Bank Alfalah Islamic Signature Debit Card,Dining,Lahore,20%,N/A,Koya
1858,Bank Alfalah Islamic Powerpack Debit Card,Dining,Lahore,20%,N/A,Koya
