dealId,keywords,title,startDate,endDate,poweredBy,percentageValue,targetEntityId,redeemableCount,orderType,expiresIn,image,description,targetBranches,onlineAvailable,likedByMe,dislikedByMe,targetEntityName,targetEntityLogo,isRedeemable,redeemedCount,redemptionDetails,likeCount,dislikeCount
90968,['new-year'],New Year Deal For Rs.2023/-,2023-01-10T16:19:00,2023-01-31T23:59:00,NONE,0,599,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals12_612fd2f5-175e-455c-97a0-7a6a3cda086c-93.jpeg,"* New Year Deal
* Regular cheese pizza
* Pan Pizza Meaty
* Mini Wrap
* Lava Cake
* Dip Sauce
* For Rs.2023/-
* Terms & Conditions apply",{'740720': 'Rehmat Mall Islamabad Branch'},,false,false,California Pizza,https://d2liqplnt17rh6.cloudfront.net/logoImages/californiapizzajlogo_2edf97c6-747c-4a13-b3af-510d56a668f3-110.jpeg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
90941,[''],UP TO 20% off on Selected Categories,2023-01-10T14:32:00,2023-01-15T23:59:00,NONE,20,278,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals10_30763118-d64d-42f6-817e-4d1ad627f7c9-661.jpeg,"* Welcome Winter Sale
* Flat 15% Off & Flat 20% Off on Selected Categories
* https://walkeaze.com/collections/sale
* Terms & Conditions apply",{'735': 'Centaurus Mall Islamabad Branch'},True,false,false,WalkEaze,https://d2liqplnt17rh6.cloudfront.net/logoImages/WalKEazeNewLogo_1f3db98b-db31-49a0-8664-be72a82c02ef-850.jpeg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
90940,[''],FLAT 50% off,2023-01-10T14:29:00,2023-01-15T23:59:00,NONE,50,1093,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals9_e400b8d6-d845-4fd4-9cb2-9b32964ecaf2-517.jpeg,"* Grand Winter Sale
* Flat 50% off is live now on the entire winter stock.
* Hurry now and grab winter essentials In-Stores or shop online 
* https://www.ismailsclothing.com/collections/sale
* Terms & Conditions apply",{'370655': 'PWD Rd Islamabad Branch'},True,false,false,Ismail's,https://d2liqplnt17rh6.cloudfront.net/logoImages/logocopy2_f3d19dca-a5e5-40aa-8ada-efb92bcffc87-493.jpeg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
90939,[''],FLAT 50% off,2023-01-10T14:25:00,2023-01-15T23:59:00,NONE,50,767,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals9_ad84c635-4cfe-4d68-879f-2e31f139b5b9-569.jpeg,"* Grand Winter Sale
* Flat 50% off is live now on the entire winter stock.
* Hurry now and grab winter essentials In-Stores or shop online 
* http://bit.ly/3Zo4Fij
* Terms & Conditions apply",{'338544': 'PWD Rd Islamabad Branch'},True,false,false,Urban Studio,https://d2liqplnt17rh6.cloudfront.net/logoImages/LogoRecovered_eca57bca-1afc-4b82-85fb-50a7133414ee-209.jpeg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
90929,[''],UP TO 50% off,2023-01-10T13:15:00,2023-01-15T23:59:00,NONE,50,3063,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals8_a8cce038-5d69-4b83-a268-f67e1b965ada-915.jpeg,"* Further Price Reductions
* Insignia sale continues with discount up to 50% Off on entire stock.
* Hop and shop to avail the biggest discounts of Winter Sale.
* Grab your favorites at amazingly low prices 
* In-stores & online 
* at http://www.insignia.pk
* Terms & Conditions apply","{'8946': 'Centaurus Mall Islamabad Branch', '11460': 'Giga Mall Islamabad Branch', '1154289': 'Safa Gold Mall Islamabad Branch'}",True,false,false,Insignia,https://d2liqplnt17rh6.cloudfront.net/logoImages/logo2_4b6fd535-7140-43a3-b78e-71b52d0a9228-787.jpeg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
90919,[''],FLAT 30% off,2023-01-10T12:57:00,2023-01-15T23:59:00,NONE,30,1070,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals7_b36d7414-f699-49d9-af5b-a267dac034c8-775.jpeg,"* Winter Clearance Sale 
* Get your hands on the hottest selling pieces at Flat 30% off and above now
* Available in stores and online at
* https://crossstitch.pk/collections/sale
* Terms & Conditions apply","{'3848': 'Centaurus Mall Islamabad Branch', '339257': 'Giga Mall Islamabad Branch', '1154255': 'Safa Gold Mall Islamabad Branch'}",True,false,false,Cross Stitch,https://d2liqplnt17rh6.cloudfront.net/logoImages/c2ff67e2-dc94-45a3-b8fe-b57d4c737f01-397.png,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
90916,[''],UP TO 50% off,2023-01-10T12:26:00,2023-01-15T23:59:00,NONE,50,10970,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals6_0a250aaa-3d5b-4f1f-a617-b791d1fdbb5e-848.jpeg,"* The biggest sale of the season is live now
* Avail upto 50% Off on your favorite outfits today.
* Available In Stores & Online:
* https://bit.ly/3Gvvg4q
* Terms & Conditions apply","{'598508': 'Centaurus Mall Islamabad Branch', '852917': 'Gull Plaza Islamabad Branch', '954980': 'Giga Mall Islamabad Branch'}",True,false,false,SAYA,https://d2liqplnt17rh6.cloudfront.net/logoImages/5310bbbb-0325-42bf-aa3e-4112d6511874-263.gif,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
90914,['new-year'],FLAT 40% off,2023-01-10T12:20:00,2023-01-15T23:59:00,NONE,40,765,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals5_5c124a25-6d28-47ef-ba33-c270445aa606-287.jpeg,"* New Year Sale
* Flat 40% Off 
* New Styles Added 
* https://beechtree.pk/pages/sale
* Terms & Conditions apply","{'2192': 'Centaurus Mall Islamabad Branch', '2193': 'College Rd Islamabad Branch', '101593': 'Giga Mall Islamabad Branch'}",True,false,false,Beech Tree,https://d2liqplnt17rh6.cloudfront.net/logoImages/LogoRecovered_298a91eb-8e7e-4c74-abab-c5312773b4aa-304.jpeg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
90904,[''],Crispy Combo For Rs.449/-,2023-01-10T11:01:00,2023-01-31T23:59:00,NONE,0,329,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals2_615f3528-75a6-49f9-8f58-46b5699f234c-676.jpeg,"* 1x Crispy Burger
* 1x Drink
* For Rs.449/-
* Terms & Conditions apply","{'558036': 'Bahria Town Islamabad Branch', '558039': 'Centaurus Mall Islamabad Branch', '565502': 'Giga Mall Islamabad Branch'}",True,false,false,Burger Lab,https://d2liqplnt17rh6.cloudfront.net/logoImages/6ad37556-51c5-4090-8cec-8c58b665f6b5.png,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
90903,[''],FLAT 50% off,2023-01-10T10:46:00,2023-01-15T23:59:00,NONE,50,766,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals1_ff5c59fd-22ec-4ff0-84f0-36ea4c66001b-107.jpeg,"* Here's the sale you were waiting for
* The Grand Winter Sale brings you Flat 50% Off on the Entire Winter Collection
* Terms & Conditions apply","{'2371': 'Centaurus Mall - Men Islamabad Branch', '210657': 'Giga Mall WTC Islamabad Branch', '245806': 'Centaurus Mall - Women & Kids Islamabad Branch'}",True,false,false,Edenrobe,https://d2liqplnt17rh6.cloudfront.net/logoImages/374c7535-500a-424d-a4cd-916dad422f71-369.png,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
